x,y,heading,s,dst,angle,delta
-9.990259,-17.901566,1.571487,0.400000,4.776175,0.087496,0.056511
-9.990259,-17.901566,1.571487,0.000000,4.477324,0.129037,0.057677
-9.990259,-17.901566,1.571487,0.400000,4.776175,0.087496,0.056511
-9.990259,-17.901566,1.571487,0.000000,4.477324,0.129037,0.057677
-9.990259,-17.901566,1.571487,0.400000,4.776175,0.087496,0.056511
-9.987224,-17.901968,1.572323,0.000000,4.477324,0.129037,0.057677
-9.987224,-17.901968,1.572323,0.400000,4.777437,0.086661,0.056440
-9.987224,-17.901968,1.572323,0.000000,4.478622,0.128202,0.057606
-9.987224,-17.901968,1.572323,0.400000,4.777437,0.086661,0.056440
-9.987224,-17.901968,1.572323,0.000000,4.478622,0.128202,0.057606
-9.987224,-17.901968,1.572323,0.400000,4.777437,0.086661,0.056440
-9.987199,-17.899605,1.572342,0.000000,4.478622,0.128202,0.057606
-9.987199,-17.899605,1.572342,0.400000,4.775787,0.086642,0.056422
-9.987199,-17.899605,1.572342,0.000000,4.477072,0.128183,0.057589
-9.987199,-17.899605,1.572342,0.400000,4.775787,0.086642,0.056422
-9.987199,-17.899605,1.572342,0.000000,4.477072,0.128183,0.057589
-9.986616,-17.895494,1.575206,0.400000,4.775787,0.086642,0.056422
-9.986616,-17.895494,1.575206,0.000000,4.470500,0.125319,0.057237
-9.986616,-17.895494,1.575206,0.400000,4.769241,0.083778,0.056070
-9.986616,-17.895494,1.575206,0.000000,4.470500,0.125319,0.057237
-9.986616,-17.895494,1.575206,0.400000,4.769241,0.083778,0.056070
-9.986616,-17.895494,1.575206,0.000000,4.470500,0.125319,0.057237
-9.990852,-17.893276,1.909099,0.400000,4.769241,0.083778,0.056070
-9.990852,-17.893276,1.909099,0.000000,4.075496,-0.208574,0.019898
-9.990852,-17.893276,1.909099,0.400000,4.404939,-0.250116,0.019038
-9.990852,-17.893276,1.909099,0.000000,4.075496,-0.208574,0.019898
-9.990852,-17.893276,1.909099,0.400000,4.404939,-0.250116,0.019038
-9.990423,-17.889202,1.809871,0.000000,4.075496,-0.208574,0.019898
-9.990423,-17.889202,1.809871,0.400000,4.481749,-0.150887,0.029729
-9.990423,-17.889202,1.809871,0.000000,4.162278,-0.109346,0.030688
-9.990423,-17.889202,1.809871,0.400000,4.481749,-0.150887,0.029729
-9.990423,-17.889202,1.809871,0.000000,4.162278,-0.109346,0.030688
-9.990423,-17.889202,1.809871,0.400000,4.481749,-0.150887,0.029729
-9.989787,-17.885414,1.744609,0.000000,4.162278,-0.109346,0.030688
-9.989787,-17.885414,1.744609,0.400000,4.545219,-0.085625,0.036890
-9.989787,-17.885414,1.744609,0.000000,4.232152,-0.044084,0.037913
-9.989787,-17.885414,1.744609,0.400000,4.545219,-0.085625,0.036890
-9.989787,-17.885414,1.744609,0.000000,4.232152,-0.044084,0.037913
-9.989787,-17.885414,1.744609,0.400000,4.545219,-0.085625,0.036890
-9.989066,-17.882586,1.694689,0.000000,4.232152,-0.044084,0.037913
-9.989066,-17.882586,1.694689,0.400000,4.600728,-0.035705,0.042437
-9.989066,-17.882586,1.694689,0.000000,4.292383,0.005836,0.043507
-9.989066,-17.882586,1.694689,0.400000,4.600728,-0.035705,0.042437
-9.989066,-17.882586,1.694689,0.000000,4.292383,0.005836,0.043507
-9.989066,-17.882586,1.694689,0.400000,4.600728,-0.035705,0.042437
-9.988899,-17.881426,1.697569,0.000000,4.292383,0.005836,0.043507
-9.988899,-17.881426,1.697569,0.400000,4.596565,-0.038585,0.042107
-9.988899,-17.881426,1.697569,0.000000,4.288015,0.002956,0.043176
-9.988899,-17.881426,1.697569,0.400000,4.596565,-0.038585,0.042107
-9.988899,-17.881426,1.697569,0.000000,4.288015,0.002956,0.043176
-9.988899,-17.881426,1.697569,0.400000,4.596565,-0.038585,0.042107
-9.990340,-17.874231,1.996536,0.000000,4.288015,0.002956,0.043176
