x,y,heading,s,dst,angle,delta
-9.892864,-12.450131,1.588117,6.625489,0.107717,0.049595,0.026503
-9.894513,-12.452582,1.587395,6.625489,0.107717,0.049595,0.026503
-9.894513,-12.452582,1.587395,6.622942,0.109511,0.050613,0.026964
-9.894513,-12.452582,1.587395,6.622942,0.109511,0.050613,0.026964
-9.894513,-12.452582,1.587395,6.622942,0.109511,0.050613,0.026964
-9.894513,-12.452582,1.587395,6.622942,0.109511,0.050613,0.026964
-9.894513,-12.452582,1.587395,6.622942,0.109511,0.050613,0.026964
-9.893876,-12.453110,1.587187,6.622942,0.109511,0.050613,0.026964
-9.893876,-12.453110,1.587187,6.622312,0.111149,0.050894,0.027319
-9.893876,-12.453110,1.587187,6.622312,0.111149,0.050894,0.027319
-9.893876,-12.453110,1.587187,6.622312,0.111149,0.050894,0.027319
-9.893876,-12.453110,1.587187,6.622312,0.111149,0.050894,0.027319
-9.893876,-12.453110,1.587187,6.622312,0.111149,0.050894,0.027319
-9.894978,-12.453540,1.586589,6.622312,0.111149,0.050894,0.027319
-9.894978,-12.453540,1.586589,6.621797,0.113006,0.051552,0.027756
-9.894978,-12.453540,1.586589,6.621797,0.113006,0.051552,0.027756
-9.894978,-12.453540,1.586589,6.621797,0.113006,0.051552,0.027756
-9.894978,-12.453540,1.586589,6.621797,0.113006,0.051552,0.027756
-9.894978,-12.453540,1.586589,6.621797,0.113006,0.051552,0.027756
-9.894358,-12.452475,1.588736,6.621797,0.113006,0.051552,0.027756
-9.894358,-12.452475,1.588736,6.623379,0.102976,0.049221,0.025517
-9.894358,-12.452475,1.588736,6.623379,0.102976,0.049221,0.025517
-9.894358,-12.452475,1.588736,6.623379,0.102976,0.049221,0.025517
-9.894358,-12.452475,1.588736,6.623379,0.102976,0.049221,0.025517
-9.894358,-12.452475,1.588736,6.623379,0.102976,0.049221,0.025517
-9.894573,-12.454402,1.588187,6.623379,0.102976,0.049221,0.025517
-9.894573,-12.454402,1.588187,6.621308,0.105376,0.050011,0.026076
-9.894573,-12.454402,1.588187,6.621308,0.105376,0.050011,0.026076
-9.894573,-12.454402,1.588187,6.621308,0.105376,0.050011,0.026076
-9.894573,-12.454402,1.588187,6.621308,0.105376,0.050011,0.026076
-9.894573,-12.454402,1.588187,6.621308,0.105376,0.050011,0.026076
-9.892980,-12.452550,1.637996,6.621308,0.105376,0.050011,0.026076
-9.892980,-12.452550,1.637996,6.629171,-0.141858,-0.000710,-0.028443
-9.892980,-12.452550,1.637996,6.629171,-0.141858,-0.000710,-0.028443
-9.892980,-12.452550,1.637996,6.629171,-0.141858,-0.000710,-0.028443
-9.892980,-12.452550,1.637996,6.629171,-0.141858,-0.000710,-0.028443
-9.892554,-12.451414,1.640230,6.629171,-0.141858,-0.000710,-0.028443
-9.892554,-12.451414,1.640230,6.630237,-0.152529,-0.003067,-0.030812
-9.892554,-12.451414,1.640230,6.630237,-0.152529,-0.003067,-0.030812
-9.892554,-12.451414,1.640230,6.630237,-0.152529,-0.003067,-0.030812
-9.892554,-12.451414,1.640230,6.630237,-0.152529,-0.003067,-0.030812
-9.892554,-12.451414,1.640230,6.630237,-0.152529,-0.003067,-0.030812
-9.892155,-12.453588,1.622303,6.630237,-0.152529,-0.003067,-0.030812
-9.892155,-12.453588,1.622303,6.627532,-0.062641,0.015172,-0.011011
-9.892155,-12.453588,1.622303,6.627532,-0.062641,0.015172,-0.011011
-9.892155,-12.453588,1.622303,6.627532,-0.062641,0.015172,-0.011011
-9.892155,-12.453588,1.622303,6.627532,-0.062641,0.015172,-0.011011
-9.892155,-12.453588,1.622303,6.627532,-0.062641,0.015172,-0.011011
-9.889446,-12.451948,1.660907,6.627532,-0.062641,0.015172,-0.011011
-9.889446,-12.451948,1.660907,6.628172,-0.252834,-0.023505,-0.052917
-9.889446,-12.451948,1.660907,6.628172,-0.252834,-0.023505,-0.052917
-9.889446,-12.451948,1.660907,6.628172,-0.252834,-0.023505,-0.052917
-9.889446,-12.451948,1.660907,6.628172,-0.252834,-0.023505,-0.052917
-9.889446,-12.451948,1.660907,6.628172,-0.252834,-0.023505,-0.052917
-9.888859,-12.451913,1.635673,6.628172,-0.252834,-0.023505,-0.052917
-9.888859,-12.451913,1.635673,6.629523,-0.126085,0.001573,-0.025060
-9.888859,-12.451913,1.635673,6.629523,-0.126085,0.001573,-0.025060
-9.888859,-12.451913,1.635673,6.629523,-0.126085,0.001573,-0.025060
